materia_codice,docente_codice
85304,44978.0
85305,42977.0
84467,43302.0
84469,32533.0
69883,31794.0
65629,41637.0
84470,56298.0
84471,600366.0
58157,33240.0
30330,36732.0
84639,46840.0
79448,43053.0
87978,30090.0
47736,41286.0
84552,121694.0
95551,34368.0
90556,24356.0
79065,148323.0
70135,35629.0
32512,48280.0
B0005,40120.0
70111,34326.0
82174,34341.0
99571,42936.0
09725,49283.0
66271,35626.0
66272,41259.0
65838,30924.0
90928,73998.0
18034,48405.0
84888,39478.0
B2950,50942.0
36420,39271.0
97311,50942.0
96382,38506.0
75318,31091.0
75319,40000.0
73727,16858.0
93825,42381.0
13769,32324.0
99795,16832.0
B3240,38112.0
37645,41642.0
90833,30589.0
91671,43789.0
91377,31977.0
91394,31977.0
96361,30823.0
93749,33936.0
93750,95914.0
96756,31531.0
96757,39474.0
79296,75440.0
B3254,23965.0
95844,23965.0
93979,46372.0
85738,111190.0
95589,40774.0
90920,38651.0
90921,31153.0
90923,38112.0
99045,32126.0
96641,112187.0
85781,33046.0
86499,33046.0
86460,34685.0
96388,45711.0
72756,33790.0
87979,38738.0
B2970,116691.0
91340,123789.0
93730,123792.0
30799,156763.0
88243,118172.0
B2051,39591.0
93853,30930.0
81594,39514.0
90929,31571.0
72757,42903.0
93272,35387.0
94424,55645.0
95590,42518.0
95661,147602.0
90298,39291.0
B0201,37158.0
87588,41586.0
98751,31091.0
87970,38713.0
99732,40083.0
98773,31851.0
75447,31851.0
90351,34010.0
99265,32684.0
97475,33306.0
90388,41660.0
94191,36867.0
79430,15596.0
93762,58955.0
99797,106204.0
65094,53384.0
93363,48389.0
87971,15882.0
99813,106204.0
98717,31091.0
96660,147552.0
B0009,35642.0
96081,108146.0
96389,128710.0
B2433,155140.0
72758,34566.0
66787,34566.0
75454,34566.0
87484,30760.0
93948,35817.0
88242,33319.0
90481,34008.0
90302,31616.0
B2124,31851.0
81626,15701.0
84199,16714.0
81633,34143.0
31203,33936.0
33930,16716.0
93846,34015.0
93847,50719.0
73205,42656.0
90988,43075.0
75475,32518.0
96094,148396.0
B0507,32518.0
50008,37143.0
73499,31501.0
38378,34949.0
73197,31501.0
B1421,38831.0
72637,38831.0
40136,15251.0
40137,15251.0
26365,42726.0
94160,55289.0
40133,101725.0
73763,34818.0
40130,37559.0
73764,916459.0
56499,37294.0
